filename,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
Aananda_aug0.wav,[102.27272727],-189.69002,98.916016,35.973934,17.243483,8.446343,5.810547,1.383047,3.7432086,7.363482,-2.7542255,-10.768947,-5.256459,0.14953378,0.528051,0.42846084,0.334597,0.3376976,0.42005187,0.49937928,0.3838202,0.5263766,0.37063792,0.20322046,0.22514775,0.4307807
Aananda_aug1.wav,[102.27272727],-284.2218,186.97987,4.5640626,26.402205,4.9841237,9.451884,-1.2396587,2.740234,12.582368,-6.3938956,-11.061287,-6.054002,2.854292,0.52282315,0.42891005,0.3373095,0.33319938,0.41768846,0.48915362,0.3798534,0.5255645,0.3627801,0.19833313,0.22239967,0.42848775
Aananda_aug10.wav,[102.27272727],-245.4502,142.38168,22.433933,16.152628,6.6513286,7.0864744,-0.8855989,6.897423,3.5898373,-12.698473,-10.99382,-0.6385117,-4.07075,0.24956252,0.4594262,0.52680165,0.41376787,0.35542774,0.3301743,0.40811527,0.44645566,0.35468775,0.5071644,0.3465711,0.17644072
Aananda_aug11.wav,[102.27272727],-287.7471,187.87851,6.801009,26.446577,6.0055623,9.4538765,-0.44102594,0.54740983,14.02924,-2.9583783,-10.167388,-8.030573,2.953759,0.51385486,0.40734917,0.3677133,0.37410617,0.44094187,0.51193696,0.40507537,0.53108144,0.40068603,0.22095086,0.27023423,0.4395874
Aananda_aug12.wav,[102.27272727],-282.92456,187.80173,3.3415914,26.80993,4.5969477,9.616799,-1.7103052,3.0315697,12.452253,-6.7515454,-11.076841,-6.2050943,3.299527,0.5230873,0.42596358,0.3316227,0.3314173,0.41284433,0.49156097,0.37924394,0.52422136,0.36697003,0.19757065,0.21922627,0.42673147
Aananda_aug13.wav,[102.27272727],-246.2699,147.7621,24.767027,18.174416,7.8587966,7.5679274,-0.5057321,3.6406143,10.198434,-4.524147,-12.304998,-5.105615,2.0962503,0.52610093,0.42691597,0.33264583,0.33408836,0.41645482,0.49589324,0.38095903,0.524467,0.3689438,0.20038693,0.22155496,0.42796627
Aananda_aug14.wav,[102.27272727],-281.33728,181.31473,3.990812,24.733477,4.0527363,9.528549,-2.303539,6.499897,8.870054,-11.001835,-11.135657,-2.9303746,0.31484622,0.4369468,0.5406686,0.3746773,0.3042201,0.32846892,0.41198063,0.4677744,0.35441658,0.5072967,0.35088518,0.16712458,0.21750484
Aananda_aug15.wav,[102.27272727],-280.67313,180.12077,3.8201668,24.506834,3.6382935,9.589903,-2.8464494,7.083477,6.516377,-12.67198,-10.395148,-1.9773668,-1.4043529,0.22091386,0.46668723,0.5215805,0.3858977,0.33455312,0.364082,0.4291903,0.4733664,0.3895541,0.5291197,0.35850346,0.16681933
Aananda_aug16.wav,[102.27272727],-164.88934,80.38026,35.238052,17.525639,8.944715,5.448452,1.807909,3.9898002,6.3791456,-2.3554213,-9.516314,-5.2625823,-0.88829345,0.53549683,0.43447524,0.32930797,0.35045093,0.42473838,0.51137114,0.38468224,0.5272302,0.38365322,0.2042714,0.23158444,0.44545808
Aananda_aug17.wav,[117.1875],-239.85513,88.88358,31.898788,15.394125,7.585362,5.255017,1.2055706,3.320295,6.619983,-2.442065,-9.637807,-4.705928,0.2361239,0.4670232,0.3780449,0.2946694,0.30027977,0.37280473,0.43863013,0.33566412,0.46200842,0.3261243,0.17958884,0.20188442,0.38531142
Aananda_aug18.wav,[102.27272727],-282.92105,187.7985,3.3457363,26.809246,4.5972295,9.617485,-1.7087926,3.0304916,12.452425,-6.7523656,-11.077702,-6.2046046,3.2986305,0.5232286,0.42639256,0.3321142,0.32963172,0.41140494,0.491119,0.37846503,0.52341413,0.36839616,0.1981131,0.21766087,0.423481
Aananda_aug19.wav,[98.68421053],-282.52975,189.66267,4.1844964,26.692997,5.1877275,9.425637,-1.7535827,3.1696997,12.615668,-6.8170586,-11.14814,-6.1551857,3.2299948,0.5179017,0.41257662,0.31782714,0.32678318,0.41356742,0.49124852,0.37486532,0.52161586,0.3604702,0.18860179,0.21105027,0.42168736
Aananda_aug2.wav,[102.27272727],-292.95825,190.96938,6.259461,27.770393,6.7797265,9.788144,0.72018623,-1.2976153,15.0726595,0.027909892,-8.771244,-9.457205,2.214762,0.38972458,0.35264972,0.3783056,0.4430189,0.5141091,0.41416574,0.5454665,0.38182813,0.2124576,0.25968012,0.46012717,0.495203
Aananda_aug3.wav,[106.13207547],-290.5299,183.60785,3.86799,26.194977,4.4790764,9.354426,-1.8039799,2.9054322,12.223973,-6.596884,-10.917325,-6.086552,3.2017748,0.51190627,0.41730675,0.32468823,0.32235044,0.40210918,0.47977373,0.3687693,0.5102827,0.36019862,0.19400819,0.21303207,0.41410574
Aananda_aug4.wav,[102.27272727],-287.94937,189.04503,4.8872576,26.929739,5.2803283,9.337629,-0.8918768,1.1021569,13.8748665,-3.9081554,-10.605754,-7.8197284,3.2829509,0.5097867,0.41287923,0.36582682,0.347678,0.43476582,0.50489336,0.42558897,0.53827614,0.40996462,0.22057264,0.24953243,0.41079485
Aananda_aug5.wav,[102.27272727],-187.49695,97.33306,36.01274,17.308163,8.499023,5.771598,1.4270209,3.7456887,7.2797413,-2.710225,-10.664025,-5.272018,0.07125566,0.5281837,0.4286321,0.33449617,0.33779606,0.42020208,0.49940148,0.38400933,0.52635515,0.37087926,0.20329131,0.22524305,0.43096507
Aananda_aug6.wav,[102.27272727],-198.04916,105.11483,35.503906,17.131214,8.448989,5.9838514,1.1699084,3.7856581,7.7256255,-3.012786,-11.085396,-5.221599,0.43645808,0.52752656,0.42789537,0.33379284,0.33688834,0.4193618,0.49854404,0.38321665,0.5259818,0.37039495,0.2023584,0.22413553,0.43025213
